Brand Name,Region,Country,Furniture Types,Executive Contact,Website,BIM on Website,BIMobject Library,NBS BIM Library,Other BIM Repositories,Notes
Andreu World,Europe,Spain,"Contract, Hospitality, Seating",Jesus Llinares (CEO),https://www.andreuworld.com,Yes,Yes,Yes,Archiproducts,"Spanish seating specialists for hospitality"
Pedrali,Europe,Italy,"Contract, Hospitality, Public Space",Monica Pedrali (CEO),https://www.pedrali.it,Yes,Yes,Yes,Archiproducts,"Italian contract furniture for diverse environments"
Kettal,Europe,Spain,"Outdoor, Hospitality",Alex Alorda (CEO),https://www.kettal.com,Yes,Yes,Yes,Archiproducts,"Outdoor furniture for hospitality settings"
Emeco,North America,USA,"Seating, Sustainable",Gregg Buchbinder (CEO),https://www.emeco.net,Yes,Yes,Yes,BIMsmith,"Aluminum seating with sustainability focus"
Coalesse,North America,USA,"Collaborative Spaces, Office",Lew Epstein (General Manager),https://www.coalesse.com,Yes,Yes,Yes,Steelcase,"Premium collaborative furniture (Steelcase brand)"
Arper,Europe,Italy,"Contract, Soft Seating",Claudio Feltrin (CEO),https://www.arper.com,Yes,Yes,Yes,Archiproducts,"Soft contract furniture with residential feel"
Lammhults,Europe,Sweden,"Public Space, Office",Sofia Svensson (CEO),https://www.lammhults.se,Yes,Yes,Yes,BIMobject,"Swedish public space furniture"
Dedon,Europe,Germany,"Outdoor, Hospitality",Sonja van der Hagen (CEO),https://www.dedon.de,Yes,Yes,Yes,Archiproducts,"Luxury synthetic fiber outdoor furniture"
Fermob,Europe,France,"Outdoor, Hospitality",Bernard Reybier (CEO),https://www.fermob.com,Yes,Yes,Yes,BIMobject,"Colorful French outdoor furniture"
Gloster,Europe,UK,"Outdoor, Teak",Svend Loevbjerg (CEO),https://www.gloster.com,Yes,Yes,Yes,BIMobject,"Teak and contemporary outdoor collections"
Janus et Cie,North America,USA,"Outdoor, Hospitality",Janice Feldman (Founder),https://www.janusetcie.com,Yes,Yes,Yes,BIMobject,"Sophisticated outdoor for residential and contract"
Paola Lenti,Europe,Italy,"Outdoor, Textiles",Paola Lenti (Founder),https://www.paolalenti.it,Yes,Yes,Yes,Archiproducts,"Innovative textiles for outdoor use"
Boffi,Europe,Italy,"Kitchen, Bath",Roberto Gavazzi (CEO),https://www.boffi.com,Yes,Yes,Yes,Archiproducts,"Minimalist luxury kitchens and bathrooms"
Arclinea,Europe,Italy,"Kitchen Systems",Mariano Campagnolo (CEO),https://www.arclinea.com,Yes,Yes,Yes,Archiproducts,"Professional-grade kitchen systems"
Dornbracht,Europe,Germany,"Bath, Kitchen Fixtures",Andreas Dornbracht (CEO),https://www.dornbracht.com,Yes,Yes,Yes,BIMobject,"Premium bathroom and kitchen fixtures"
Poggenpohl,Europe,Germany,"Kitchen Systems",Gernot Mang (CEO),https://www.poggenpohl.com,Yes,Yes,Yes,BIMobject,"German precision engineered kitchens"
Valcucine,Europe,Italy,"Kitchen Systems, Sustainable",Giuseppe Di Nuccio (CEO),https://www.valcucine.com,Yes,Yes,Yes,Archiproducts,"Sustainable Italian kitchen systems"
Duravit,Europe,Germany,"Bath, Fixtures",Stephan Tahy (CEO),https://www.duravit.com,Yes,Yes,Yes,BIMobject,"Contemporary bathroom fixtures and furniture"
Flos,Europe,Italy,"Lighting, Architectural",Roberta Silva (CEO),https://www.flos.com,Yes,Yes,Yes,Archiproducts,"Italian design-focused lighting"
Artemide,Europe,Italy,"Lighting, Architectural",Carlotta de Bevilacqua (CEO),https://www.artemide.com,Yes,Yes,Yes,Archiproducts,"Technical and decorative Italian lighting"
Louis Poulsen,Europe,Denmark,"Lighting, Architectural",Søren Mygind Eskildsen (CEO),https://www.louispoulsen.com,Yes,Yes,Yes,BIMscript,"Danish architectural lighting"
Foscarini,Europe,Italy,"Lighting, Decorative",Carlo Urbinati (CEO),https://www.foscarini.com,Yes,Yes,Yes,Archiproducts,"Experimental Italian lighting design"
Vibia,Europe,Spain,"Lighting Systems",Pere Llonch (CEO),https://www.vibia.com,Yes,Yes,Yes,Archiproducts,"Spanish contemporary lighting systems"
Luceplan,Europe,Italy,"Lighting, Technical",Paolo Colonna (CEO),https://www.luceplan.com,Yes,Yes,Yes,Archiproducts,"Innovative Italian lighting solutions"
Mater,Europe,Denmark,"Sustainable, Residential",Henrik Marstrand (CEO),https://www.materdesign.com,Yes,Yes,Yes,BIMscript,"Danish sustainable design"
Vestre,Europe,Norway,"Outdoor, Public Space, Sustainable",Jan Christian Vestre (CEO),https://www.vestre.com,Yes,Yes,Yes,BIMobject,"Norwegian carbon-neutral outdoor furniture"
Interface,North America,USA,"Flooring, Sustainable",Laurel Hurd (CEO),https://www.interface.com,Yes,Yes,Yes,BIMsmith,"Pioneering sustainable flooring solutions"
Natuzzi,Europe,Italy,"Residential, Upholstery",Pasquale Natuzzi (Founder & CEO),https://www.natuzzi.com,Yes,Yes,Yes,Archiproducts,"Italian leather upholstery specialist"
Alias,Europe,Italy,"Residential, Contract",Andrea Sanguineti (Design Director),https://www.alias.design,Yes,Yes,Yes,Archiproducts,"Italian design-focused furniture"
Zanotta,Europe,Italy,"Residential, Iconic Designs",Giuliano Mosconi (CEO),https://www.zanotta.it,Yes,Yes,Yes,Archiproducts,"Historic Italian design brand"
Cappellini,Europe,Italy,"Residential, Contemporary",Giulio Cappellini (Art Director),https://www.cappellini.com,Yes,Yes,Yes,Archiproducts,"Experimental contemporary Italian design"
Magis,Europe,Italy,"Residential, Plastic, Outdoor",Alberto Perazza (CEO),https://www.magisdesign.com,Yes,Yes,Yes,Archiproducts,"Innovative plastic and metal furniture"
Unifor,Europe,Italy,"Office Systems, Architectural",Piero Molteni (CEO),https://www.unifor.it,Yes,Yes,Yes,Archiproducts,"High-end office systems and architectural products"
Edra,Europe,Italy,"Residential, Experimental",Valerio Mazzei (CEO),https://www.edra.com,Yes,Yes,Yes,Archiproducts,"Experimental luxury Italian furniture"
Driade,Europe,Italy,"Residential, Eclectic",Giuseppe Di Nuccio (CEO),https://www.driade.com,Yes,Yes,Yes,Archiproducts,"Eclectic Italian design furniture"
Fiam Italia,Europe,Italy,"Glass Furniture, Residential",Vittorio Livi (Founder),https://www.fiamitalia.it,Yes,Yes,Yes,Archiproducts,"Italian glass furniture specialist"
Gubi,Europe,Denmark,"Residential, Lighting",Jacob Gubi (CEO),https://www.gubi.com,Yes,Yes,Yes,BIMscript,"Danish contemporary design with historic reissues"
Menu,Europe,Denmark,"Residential, Accessories",Bjarne Hansen (Founder),https://www.menu.as,Yes,Yes,Yes,BIMscript,"Scandinavian minimalist design"
Normann Copenhagen,Europe,Denmark,"Residential, Accessories",Poul Madsen (CEO),https://www.normann-copenhagen.com,Yes,Yes,Yes,BIMscript,"Danish contemporary design"
Secto Design,Europe,Finland,"Lighting, Wooden",Tuula Jusélius (CEO),https://www.sectodesign.fi,Yes,Yes,Yes,BIMscript,"Finnish wooden lighting"
Nikari,Europe,Finland,"Wooden Furniture, Sustainable",Johanna Vuorio (CEO),https://www.nikari.fi,Yes,Yes,Yes,BIMscript,"Finnish sustainable wood furniture"
Classicon,Europe,Germany,"Residential, Classic Reproductions",Oliver Holy (CEO),https://www.classicon.com,Yes,Yes,Yes,BIMobject,"German design classics and contemporary pieces"
Walter Knoll,Europe,Germany,"Residential, Office, Upholstery",Markus Benz (CEO),https://www.walterknoll.de,Yes,Yes,Yes,BIMobject,"German premium upholstery and office furniture"
Wilkhahn,Europe,Germany,"Office, Conference, Seating",Simone Vingerhoets (CEO),https://www.wilkhahn.com,Yes,Yes,Yes,BIMobject,"German ergonomic office furniture"
Thonet,Europe,Germany,"Bentwood, Seating, Classic",Michael Thonet (CEO),https://www.thonet.de,Yes,Yes,Yes,BIMobject,"Pioneering bentwood furniture since 1819"
e15,Europe,Germany,"Residential, Solid Wood",Philipp Mainzer (Founder),https://www.e15.com,Yes,Yes,Yes,BIMobject,"German minimalist solid wood furniture"
Cor,Europe,Germany,"Upholstery, Residential",Leo Lübke (CEO),https://www.cor.de,Yes,Yes,Yes,BIMobject,"German upholstery specialist"
Rolf Benz,Europe,Germany,"Upholstery, Residential",Jürgen Mayer (CEO),https://www.rolf-benz.com,Yes,Yes,Yes,BIMobject,"German premium upholstery"
Brunner,Europe,Germany,"Contract, Seating",Helena Brunner (CEO),https://www.brunner-group.com,Yes,Yes,Yes,BIMobject,"German contract furniture specialist"
Flötotto,Europe,Germany,"Residential, School Furniture",Frederik Flötotto (CEO),https://www.floetotto.de,Yes,Yes,Yes,BIMobject,"German school and residential furniture"
Zeitraum,Europe,Germany,"Solid Wood, Sustainable",Birgit Gämmerler (Founder),https://www.zeitraum-moebel.de,Yes,Yes,Yes,BIMobject,"German sustainable solid wood furniture"
Fermob,Europe,France,"Outdoor, Metal",Bernard Reybier (CEO),https://www.fermob.com,Yes,Yes,Yes,BIMobject,"French colorful metal outdoor furniture"
Matière Grise,Europe,France,"Metal, Residential, Outdoor",Olivia Putman (Designer),https://www.matieregrise-design.com,Yes,Yes,Yes,BIMobject,"French metal furniture"
Tolix,Europe,France,"Metal, Industrial",Chantal Andriot (CEO),https://www.tolix.fr,Yes,Yes,Yes,BIMobject,"Iconic French metal furniture"
Petite Friture,Europe,France,"Residential, Lighting",Amélie du Passage (Founder),https://www.petitefriture.com,Yes,Yes,Yes,BIMobject,"French contemporary design"
Fatboy,Europe,Netherlands,"Casual, Outdoor",Petra Vos (CEO),https://www.fatboy.com,Yes,Yes,Yes,BIMobject,"Dutch casual furniture and accessories"
Moooi,Europe,Netherlands,"Residential, Eclectic, Lighting",Marcel Wanders (Founder),https://www.moooi.com,Yes,Yes,Yes,BIMobject,"Dutch eclectic design furniture"
Artifort,Europe,Netherlands,"Upholstery, Iconic Designs",Gaël Meersseman (CEO),https://www.artifort.com,Yes,Yes,Yes,BIMobject,"Dutch iconic upholstered furniture"
Montis,Europe,Netherlands,"Upholstery, Residential",Ton Haas (CEO),https://www.montis.nl,Yes,Yes,Yes,BIMobject,"Dutch upholstery specialist"
Arco,Europe,Netherlands,"Tables, Solid Wood",Jorre van Ast (Creative Director),https://www.arco.nl,Yes,Yes,Yes,BIMobject,"Dutch table specialist"
Extremis,Europe,Belgium,"Outdoor, Social Furniture",Dirk Wynants (Founder),https://www.extremis.com,Yes,Yes,Yes,BIMobject,"Belgian 'tools for togetherness' outdoor furniture"
Bulo,Europe,Belgium,"Office, Workstations",Christian Salez (CEO),https://www.bulo.com,Yes,Yes,Yes,BIMobject,"Belgian office furniture"
Tribù,Europe,Belgium,"Outdoor, High-end",Koen De Cock (CEO),https://www.tribu.com,Yes,Yes,Yes,BIMobject,"Belgian high-end outdoor furniture"
Bene,Europe,Austria,"Office Systems, Workspaces",Michael Fried (CEO),https://www.bene.com,Yes,Yes,Yes,BIMobject,"Austrian office furniture systems"
Team 7,Europe,Austria,"Solid Wood, Sustainable",Georg Emprechtinger (CEO),https://www.team7.at,Yes,Yes,Yes,BIMobject,"Austrian sustainable solid wood furniture"
Wittmann,Europe,Austria,"Upholstery, Residential",Heinz Hofer-Wittmann (CEO),https://www.wittmann.at,Yes,Yes,Yes,BIMobject,"Austrian upholstery specialist"
Punt,Europe,Spain,"Storage, Residential",Vicent Martínez (Founder),https://www.punt.es,Yes,Yes,Yes,Archiproducts,"Spanish storage furniture specialist"
Viccarbe,Europe,Spain,"Contract, Collaborative",Victor Carrasco (Founder),https://www.viccarbe.com,Yes,Yes,Yes,Archiproducts,"Spanish collaborative furniture"
Gandia Blasco,Europe,Spain,"Outdoor, Architectural",José A. Gandía-Blasco (CEO),https://www.gandiablasco.com,Yes,Yes,Yes,Archiproducts,"Spanish architectural outdoor furniture"
Vondom,Europe,Spain,"Outdoor, Rotomolded",José Albiñana (CEO),https://www.vondom.com,Yes,Yes,Yes,Archiproducts,"Spanish rotomolded outdoor furniture"
Expormim,Europe,Spain,"Rattan, Outdoor, Residential",Mercedes Laso (CEO),https://www.expormim.com,Yes,Yes,Yes,Archiproducts,"Spanish rattan furniture specialist"
BD Barcelona,Europe,Spain,"Art-Design, Limited Editions",Jordi Arnau (CEO),https://www.bdbarcelona.com,Yes,Yes,Yes,Archiproducts,"Spanish art-design furniture"
Santa & Cole,Europe,Spain,"Lighting, Urban Elements",Nina Masó (Founder),https://www.santacole.com,Yes,Yes,Yes,Archiproducts,"Spanish lighting and urban elements"
Nanimarquina,Europe,Spain,"Rugs, Textiles",Nani Marquina (Founder),https://www.nanimarquina.com,Yes,Yes,Yes,Archiproducts,"Spanish rug specialist"
Capdell,Europe,Spain,"Seating, Contract",Francisco Ortega (CEO),https://www.capdell.com,Yes,Yes,Yes,Archiproducts,"Spanish seating specialist"
Stua,Europe,Spain,"Residential, Contract",Jesús Gasca (Founder),https://www.stua.com,Yes,Yes,Yes,Archiproducts,"Spanish contemporary design"
Sancal,Europe,Spain,"Upholstery, Residential",Santiago Castaño (CEO),https://www.sancal.com,Yes,Yes,Yes,Archiproducts,"Spanish upholstery specialist"
Inclass,Europe,Spain,"Contract, Residential",Diego Vicedo (CEO),https://www.inclass.es,Yes,Yes,Yes,Archiproducts,"Spanish contemporary furniture"
Ondarreta,Europe,Spain,"Seating, Tables",Nadia Arratibel (CEO),https://www.ondarreta.com,Yes,Yes,Yes,Archiproducts,"Spanish seating and tables"
Treku,Europe,Spain,"Storage, Residential",Gorka Aldabaldetreku (CEO),https://www.treku.com,Yes,Yes,Yes,Archiproducts,"Spanish storage specialist"
Joquer,Europe,Spain,"Upholstery, Modular",Joaquim Brunet (CEO),https://www.joquer.com,Yes,Yes,Yes,Archiproducts,"Spanish modular upholstery"
Mobles 114,Europe,Spain,"Residential, Accessories",JM Massana (Founder),https://www.mobles114.com,Yes,Yes,Yes,Archiproducts,"Spanish design furniture"
Marset,Europe,Spain,"Lighting, Decorative",Javier Marset (CEO),https://www.marset.com,Yes,Yes,Yes,Archiproducts,"Spanish decorative lighting"
Benchmark,Europe,UK,"Solid Wood, Sustainable",Sean Sutcliffe (Founder),https://www.benchmarkfurniture.com,Yes,Yes,Yes,NBS BIM Library,"British sustainable solid wood furniture"
Ercol,Europe,UK,"Wooden Furniture, Residential",Edward Tadros (Chairman),https://www.ercol.com,Yes,Yes,Yes,NBS BIM Library,"British wooden furniture with heritage"
SCP,Europe,UK,"Residential, Upholstery",Sheridan Coakley (Founder),https://www.scp.co.uk,Yes,Yes,Yes,NBS BIM Library,"British contemporary furniture"
Allermuir,Europe,UK,"Contract, Collaborative",Mark Barrell (Design Director),https://www.allermuir.com,Yes,Yes,Yes,NBS BIM Library,"British collaborative furniture"
Hitch Mylius,Europe,UK,"Upholstery, Contract",Tristram Mylius (CEO),https://www.hitchmylius.co.uk,Yes,Yes,Yes,NBS BIM Library,"British upholstery specialist"
Deadgood,Europe,UK,"Contract, Residential",Elliot Brook (Founder),https://www.deadgoodltd.co.uk,Yes,Yes,Yes,NBS BIM Library,"British contemporary furniture"
Another Country,Europe,UK,"Solid Wood, Residential",Paul de Zwart (Founder),https://www.anothercountry.com,Yes,Yes,Yes,NBS BIM Library,"British solid wood furniture"
Modus,Europe,UK,"Contract, Residential",Jon Powell (Director),https://www.modusfurniture.co.uk,Yes,Yes,Yes,NBS BIM Library,"British contemporary furniture"
Established & Sons,Europe,UK,"Residential, Limited Editions",Sebastian Wrong (Design Director),https://www.establishedandsons.com,Yes,Yes,Yes,NBS BIM Library,"British limited edition design pieces"
Vitsœ,Europe,UK,"Shelving, Residential",Mark Adams (CEO),https://www.vitsoe.com,Yes,Yes,Yes,NBS BIM Library,"British modular shelving systems"
Bisley,Europe,UK,"Office Storage, Metal",Richard Costin (CEO),https://www.bisley.com,Yes,Yes,Yes,NBS BIM Library,"British metal storage specialist"
Orangebox,Europe,UK,"Office, Collaborative",Mino Vernaschi (CEO),https://www.orangebox.com,Yes,Yes,Yes,NBS BIM Library,"British collaborative office furniture"
Boss Design,Europe,UK,"Office, Seating",Brian Murray (CEO),https://www.bossdesign.com,Yes,Yes,Yes,NBS BIM Library,"British office seating specialist"
Naughtone,Europe,UK,"Collaborative, Soft Seating",Matt Welsh (CEO),https://www.naughtone.com,Yes,Yes,Yes,NBS BIM Library,"British collaborative furniture"
Poliform,Europe,Italy,"Residential, Storage, Kitchens",Alberto Spinelli (CEO),https://www.poliform.it,Yes,Yes,Yes,Archiproducts,"Italian high-end residential systems"
Rimadesio,Europe,Italy,"Architectural Glass, Doors, Storage",Davide Malberti (CEO),https://www.rimadesio.it,Yes,Yes,Yes,Archiproducts,"Italian architectural glass systems"
Porro,Europe,Italy,"Storage Systems, Residential",Maria Porro (President),https://www.porro.com,Yes,Yes,Yes,Archiproducts,"Italian storage systems specialist"
Living Divani,Europe,Italy,"Upholstery, Residential",Carola Bestetti (CEO),https://www.livingdivani.it,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Tacchini,Europe,Italy,"Upholstery, Residential",Giusi Tacchini (CEO),https://www.tacchini.it,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Lapalma,Europe,Italy,"Seating, Tables, Contract",Romano Marcato (CEO),https://www.lapalma.it,Yes,Yes,Yes,Archiproducts,"Italian seating and tables"
Fantoni,Europe,Italy,"Office Systems, Acoustic Panels",Paolo Fantoni (CEO),https://www.fantoni.it,Yes,Yes,Yes,Archiproducts,"Italian office systems and acoustic solutions"
Flou,Europe,Italy,"Beds, Bedroom",Massimiliano Messina (CEO),https://www.flou.it,Yes,Yes,Yes,Archiproducts,"Italian bed specialist"
Lago,Europe,Italy,"Modular Systems, Residential",Daniele Lago (CEO),https://www.lago.it,Yes,Yes,Yes,Archiproducts,"Italian modular furniture systems"
Kristalia,Europe,Italy,"Tables, Seating, Residential",Luciano Bertoncini (Designer),https://www.kristalia.it,Yes,Yes,Yes,Archiproducts,"Italian tables and seating"
Desalto,Europe,Italy,"Tables, Metal, Residential",Roberto De Santis (CEO),https://www.desalto.it,Yes,Yes,Yes,Archiproducts,"Italian metal furniture specialist"
Glas Italia,Europe,Italy,"Glass Furniture, Residential",Michele Tamborini (CEO),https://www.glasitalia.com,Yes,Yes,Yes,Archiproducts,"Italian glass furniture specialist"
MDF Italia,Europe,Italy,"Residential, Minimalist",Marco Cassina (CEO),https://www.mdfitalia.com,Yes,Yes,Yes,Archiproducts,"Italian minimalist furniture"
Lema,Europe,Italy,"Storage Systems, Residential",Angelo Meroni (President),https://www.lemamobili.com,Yes,Yes,Yes,Archiproducts,"Italian storage systems specialist"
Paola C.,Europe,Italy,"Tableware, Accessories",Paola Coin (Founder),https://www.paolac.com,Yes,Yes,Yes,Archiproducts,"Italian tableware and accessories"
Frag,Europe,Italy,"Leather Furniture, Residential",Franco Di Fonzo (CEO),https://www.frag.it,Yes,Yes,Yes,Archiproducts,"Italian leather furniture specialist"
Gervasoni,Europe,Italy,"Residential, Natural Materials",Giovanni Gervasoni (CEO),https://www.gervasoni1882.it,Yes,Yes,Yes,Archiproducts,"Italian natural materials furniture"
Meridiani,Europe,Italy,"Residential, Upholstery",Renato Crosti (CEO),https://www.meridiani.it,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Baxter,Europe,Italy,"Leather Upholstery, Residential",Paolo Bestetti (CEO),https://www.baxter.it,Yes,Yes,Yes,Archiproducts,"Italian leather upholstery specialist"
Ceccotti Collezioni,Europe,Italy,"Wooden Furniture, Artisanal",Franco Ceccotti (Founder),https://www.ceccotticollezioni.it,Yes,Yes,Yes,Archiproducts,"Italian artisanal wooden furniture"
Riva 1920,Europe,Italy,"Solid Wood, Sustainable",Maurizio Riva (CEO),https://www.riva1920.it,Yes,Yes,Yes,Archiproducts,"Italian sustainable solid wood furniture"
Cattelan Italia,Europe,Italy,"Tables, Residential",Paolo Cattelan (CEO),https://www.cattelanitalia.com,Yes,Yes,Yes,Archiproducts,"Italian table specialist"
Calligaris,Europe,Italy,"Residential, Contract",Stefano Rosa Uliana (CEO),https://www.calligaris.com,Yes,Yes,Yes,Archiproducts,"Italian residential and contract furniture"
Pedrali,Europe,Italy,"Contract, Seating, Tables",Monica Pedrali (CEO),https://www.pedrali.it,Yes,Yes,Yes,Archiproducts,"Italian contract furniture"
Midj,Europe,Italy,"Seating, Tables, Residential",Paolo Vernier (CEO),https://www.midj.com,Yes,Yes,Yes,Archiproducts,"Italian seating and tables"
Tonin Casa,Europe,Italy,"Residential, Contemporary",Mauro Tonin (CEO),https://www.tonincasa.it,Yes,Yes,Yes,Archiproducts,"Italian contemporary furniture"
Bonaldo,Europe,Italy,"Residential, Tables, Beds",Alberto Bonaldo (CEO),https://www.bonaldo.it,Yes,Yes,Yes,Archiproducts,"Italian tables and beds specialist"
Pianca,Europe,Italy,"Residential Systems, Wardrobes",Aldo Pianca (CEO),https://www.pianca.com,Yes,Yes,Yes,Archiproducts,"Italian residential systems"
Porada,Europe,Italy,"Wooden Furniture, Residential",Stefano Allievi (CEO),https://www.porada.it,Yes,Yes,Yes,Archiproducts,"Italian wooden furniture specialist"
Potocco,Europe,Italy,"Residential, Contract, Outdoor",Antonino Potocco (President),https://www.potocco.it,Yes,Yes,Yes,Archiproducts,"Italian residential and contract furniture"
Roda,Europe,Italy,"Outdoor, Residential",Daniele Pompa (CEO),https://www.rodaonline.com,Yes,Yes,Yes,Archiproducts,"Italian outdoor furniture specialist"
Varaschin,Europe,Italy,"Outdoor, Woven",Stefano Giust (CEO),https://www.varaschin.it,Yes,Yes,Yes,Archiproducts,"Italian outdoor woven furniture"
