ClassID,Theme,Class Name,Instructor,Schedule,Location,Capacity,Status,Link to Class,Class Description,Equipment Requirements
S0505,Materials & Manufacturing,Ceramics & Composites: Advanced Materials,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Ceramics & Composites: Advanced Materials. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0506,Materials & Manufacturing,Textiles: From Hand Weaving to Smart Fabrics,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Textiles: From Hand Weaving to Smart Fabrics. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0507,Materials & Manufacturing,3D Printing: Additive Manufacturing Revolution,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring 3D Printing: Additive Manufacturing Revolution. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0508,Materials & Manufacturing,Nanotechnology: Engineering at the Atomic Scale,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Nanotechnology: Engineering at the Atomic Scale. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0509,Materials & Manufacturing,Graphene & 2D Materials: The Future of Materials,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Graphene & 2D Materials: The Future of Materials. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0510,Materials & Manufacturing,Biomaterials: Nature-Inspired Engineering,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Biomaterials: Nature-Inspired Engineering. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0601,Communication & Information,From Telegraph to Internet,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring From Telegraph to Internet. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0602,Communication & Information,Radio: From Marconi to Modern Broadcasting,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Radio: From Marconi to Modern Broadcasting. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0603,Communication & Information,Television: From Mechanical to Digital,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Television: From Mechanical to Digital. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0604,Communication & Information,Photography: From Film to Digital Imaging,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Photography: From Film to Digital Imaging. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0605,Communication & Information,Computing: From Babbage to Quantum Computers,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Computing: From Babbage to Quantum Computers. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0606,Communication & Information,The Internet of Things: Connected Everything,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Internet of Things: Connected Everything. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0607,Communication & Information,Artificial Intelligence: From Logic to Machine Learning,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Artificial Intelligence: From Logic to Machine Learning. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0608,Communication & Information,Cybersecurity: Protecting Digital Infrastructure,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Cybersecurity: Protecting Digital Infrastructure. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0609,Communication & Information,Data Science: From Statistics to Big Data,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Data Science: From Statistics to Big Data. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0610,Communication & Information,Virtual & Augmented Reality: Immersive Technology,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Virtual & Augmented Reality: Immersive Technology. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0701,Medicine & Health,From Bloodletting to Modern Surgery,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring From Bloodletting to Modern Surgery. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0702,Medicine & Health,X-Rays to Medical Imaging,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring X-Rays to Medical Imaging. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0703,Medicine & Health,Vaccines: From Cowpox to mRNA Technology,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Vaccines: From Cowpox to mRNA Technology. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0704,Medicine & Health,Prosthetics: From Wooden Legs to Bionic Limbs,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Prosthetics: From Wooden Legs to Bionic Limbs. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0705,Medicine & Health,Pacemakers: Engineering the Heartbeat,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Pacemakers: Engineering the Heartbeat. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0706,Medicine & Health,Dialysis: Artificial Kidneys,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Dialysis: Artificial Kidneys. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0707,Medicine & Health,Dental Technology: From Extraction to Implants,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Dental Technology: From Extraction to Implants. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0708,Medicine & Health,Genetic Engineering: From Mendel to CRISPR,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Genetic Engineering: From Mendel to CRISPR. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0709,Medicine & Health,Telemedicine: Healthcare at a Distance,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Telemedicine: Healthcare at a Distance. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0710,Medicine & Health,Bioprinting: 3D Printing Human Tissue,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Bioprinting: 3D Printing Human Tissue. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0801,Environmental & Sustainability,Air Quality Monitoring: From Smoke to Smart Sensors,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Air Quality Monitoring: From Smoke to Smart Sensors. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0802,Environmental & Sustainability,Carbon Capture: From Trees to Technology,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Carbon Capture: From Trees to Technology. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0803,Environmental & Sustainability,Waste Management: From Landfills to Circular Economy,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Waste Management: From Landfills to Circular Economy. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0804,Environmental & Sustainability,Renewable Energy Integration: Smart Grids,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Renewable Energy Integration: Smart Grids. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0805,Environmental & Sustainability,Biodiversity Monitoring: From Field Surveys to Drones,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Biodiversity Monitoring: From Field Surveys to Drones. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0806,Environmental & Sustainability,Soil Remediation: Cleaning Contaminated Land,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Soil Remediation: Cleaning Contaminated Land. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0807,Environmental & Sustainability,Ocean Cleanup: Tackling Plastic Pollution,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Ocean Cleanup: Tackling Plastic Pollution. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0808,Environmental & Sustainability,Vertical Farming: Growing Food in Cities,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Vertical Farming: Growing Food in Cities. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0809,Environmental & Sustainability,Permafrost Monitoring: Climate Change Indicators,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Permafrost Monitoring: Climate Change Indicators. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
